Average Life Expectancy,Race,Sex,Year
48.3,All Races,Female,1900
50.6,All Races,Female,1901
53.4,All Races,Female,1902
52,All Races,Female,1903
49.1,All Races,Female,1904
50.2,All Races,Female,1905
50.8,All Races,Female,1906
49.9,All Races,Female,1907
52.8,All Races,Female,1908
53.8,All Races,Female,1909
51.8,All Races,Female,1910
54.4,All Races,Female,1911
55.9,All Races,Female,1912
55,All Races,Female,1913
56.8,All Races,Female,1914
56.8,All Races,Female,1915
54.3,All Races,Female,1916
54,All Races,Female,1917
42.2,All Races,Female,1918
56,All Races,Female,1919
54.6,All Races,Female,1920
61.8,All Races,Female,1921
61,All Races,Female,1922
58.5,All Races,Female,1923
61.5,All Races,Female,1924
60.6,All Races,Female,1925
58,All Races,Female,1926
62.1,All Races,Female,1927
58.3,All Races,Female,1928
58.7,All Races,Female,1929
61.6,All Races,Female,1930
63.1,All Races,Female,1931
63.5,All Races,Female,1932
65.1,All Races,Female,1933
63.3,All Races,Female,1934
63.9,All Races,Female,1935
60.6,All Races,Female,1936
62.4,All Races,Female,1937
65.3,All Races,Female,1938
65.4,All Races,Female,1939
65.2,All Races,Female,1940
66.8,All Races,Female,1941
67.9,All Races,Female,1942
64.4,All Races,Female,1943
66.8,All Races,Female,1944
67.9,All Races,Female,1945
69.4,All Races,Female,1946
69.7,All Races,Female,1947
69.9,All Races,Female,1948
70.7,All Races,Female,1949
71.1,All Races,Female,1950
71.4,All Races,Female,1951
71.6,All Races,Female,1952
72,All Races,Female,1953
72.8,All Races,Female,1954
72.8,All Races,Female,1955
72.9,All Races,Female,1956
72.7,All Races,Female,1957
72.9,All Races,Female,1958
73.2,All Races,Female,1959
73.1,All Races,Female,1960
73.6,All Races,Female,1961
73.5,All Races,Female,1962
73.4,All Races,Female,1963
73.7,All Races,Female,1964
73.8,All Races,Female,1965
73.9,All Races,Female,1966
74.3,All Races,Female,1967
74.1,All Races,Female,1968
74.4,All Races,Female,1969
74.7,All Races,Female,1970
75,All Races,Female,1971
75.1,All Races,Female,1972
75.3,All Races,Female,1973
75.9,All Races,Female,1974
76.6,All Races,Female,1975
76.8,All Races,Female,1976
77.2,All Races,Female,1977
77.3,All Races,Female,1978
77.8,All Races,Female,1979
77.4,All Races,Female,1980
77.8,All Races,Female,1981
78.1,All Races,Female,1982
78.1,All Races,Female,1983
78.2,All Races,Female,1984
78.2,All Races,Female,1985
78.2,All Races,Female,1986
78.3,All Races,Female,1987
78.3,All Races,Female,1988
78.5,All Races,Female,1989
78.8,All Races,Female,1990
78.9,All Races,Female,1991
79.1,All Races,Female,1992
78.8,All Races,Female,1993
79,All Races,Female,1994
78.9,All Races,Female,1995
79.1,All Races,Female,1996
79.4,All Races,Female,1997
79.5,All Races,Female,1998
79.4,All Races,Female,1999
79.7,All Races,Female,2000
79.5,All Races,Female,2001
79.6,All Races,Female,2002
79.7,All Races,Female,2003
80.1,All Races,Female,2004
80.1,All Races,Female,2005
80.3,All Races,Female,2006
80.6,All Races,Female,2007
80.6,All Races,Female,2008
80.9,All Races,Female,2009
81,All Races,Female,2010
81.1,All Races,Female,2011
81.2,All Races,Female,2012
81.2,All Races,Female,2013
46.3,All Races,Male,1900
47.6,All Races,Male,1901
49.8,All Races,Male,1902
49.1,All Races,Male,1903
46.2,All Races,Male,1904
47.3,All Races,Male,1905
46.9,All Races,Male,1906
45.6,All Races,Male,1907
49.5,All Races,Male,1908
50.5,All Races,Male,1909
48.4,All Races,Male,1910
50.9,All Races,Male,1911
51.5,All Races,Male,1912
50.3,All Races,Male,1913
52,All Races,Male,1914
52.5,All Races,Male,1915
49.6,All Races,Male,1916
48.4,All Races,Male,1917
36.6,All Races,Male,1918
53.5,All Races,Male,1919
53.6,All Races,Male,1920
60,All Races,Male,1921
58.4,All Races,Male,1922
56.1,All Races,Male,1923
58.1,All Races,Male,1924
57.6,All Races,Male,1925
55.5,All Races,Male,1926
59,All Races,Male,1927
55.6,All Races,Male,1928
55.8,All Races,Male,1929
58.1,All Races,Male,1930
59.4,All Races,Male,1931
61,All Races,Male,1932
61.7,All Races,Male,1933
59.3,All Races,Male,1934
59.9,All Races,Male,1935
56.6,All Races,Male,1936
58,All Races,Male,1937
61.9,All Races,Male,1938
62.1,All Races,Male,1939
60.8,All Races,Male,1940
63.1,All Races,Male,1941
64.7,All Races,Male,1942
62.4,All Races,Male,1943
63.6,All Races,Male,1944
63.6,All Races,Male,1945
64.4,All Races,Male,1946
64.4,All Races,Male,1947
64.6,All Races,Male,1948
65.2,All Races,Male,1949
65.6,All Races,Male,1950
65.6,All Races,Male,1951
65.8,All Races,Male,1952
66,All Races,Male,1953
66.7,All Races,Male,1954
66.7,All Races,Male,1955
66.7,All Races,Male,1956
66.4,All Races,Male,1957
66.6,All Races,Male,1958
66.8,All Races,Male,1959
66.6,All Races,Male,1960
67.1,All Races,Male,1961
66.9,All Races,Male,1962
66.6,All Races,Male,1963
66.8,All Races,Male,1964
66.8,All Races,Male,1965
66.7,All Races,Male,1966
67,All Races,Male,1967
66.6,All Races,Male,1968
66.8,All Races,Male,1969
67.1,All Races,Male,1970
67.4,All Races,Male,1971
67.4,All Races,Male,1972
67.6,All Races,Male,1973
68.2,All Races,Male,1974
68.8,All Races,Male,1975
69.1,All Races,Male,1976
69.5,All Races,Male,1977
69.6,All Races,Male,1978
70,All Races,Male,1979
70,All Races,Male,1980
